,index,name,price,mileage,drivetrain,mpg,fuel_type,transmission,engine,zipcode,oneowner,personal_use
1062,3,2021 Tesla Model Y Standard Range,60490,29850, Rear-wheel Drive ,None,Electric ,1-Speed Automatic,Electric,33130,1,1
1063,4,2018 Toyota Camry SE,24930,48549, Front-wheel Drive ,28–39,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC,48034,3,3
1064,5,2019 Honda CR-V EX-L,32245,38327, Front-wheel Drive ,28–34,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,43232,3,3
1065,6,2015 Chevrolet Corvette Stingray,49995,13269, Rear-wheel Drive ,17–29,Gasoline ,8-Speed Automatic,6.2L V8 16V GDI OHV,53052,0,1
1066,7,2021 Mazda CX-5 Grand Touring,31778,20648, Front-wheel Drive ,25–31,Gasoline ,6-Speed Automatic,2.5L I4 16V,76053,3,3
1067,8,2020 Ford F-150 XLT,42900,17051, Four-wheel Drive ,18–23,Gasoline ,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,37130,3,3
1068,9,2019 Mazda CX-5 Grand Touring,29795,18989, Front-wheel Drive ,25–31,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC,33169,3,3
1069,10,2019 Mercedes-Benz C-Class C 300 4MATIC,32950,11018, All-wheel Drive ,22–33,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,10466,3,3
1070,11,2020 Chevrolet Bolt EV Premier,34495,10091, Front-wheel Drive ,None,Electric ,1-Speed Automatic,Electric,92335,1,1
1071,12,2019 GMC Yukon Denali,54900,41158, Rear-wheel Drive ,14–23,Gasoline ,Automatic,Gas V8 6.2L/376,33483,1,1
1072,13,2019 RAM 1500 Big Horn,35998,27053, Rear-wheel Drive ,20–25,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV,89146,3,3
1073,14,2020 Honda Civic LX,24455,19182, Front-wheel Drive ,30–38,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC,44035,1,1
1074,15,2020 Toyota RAV4 LE,27211,16565, All-wheel Drive ,27–34,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC,11542,3,3
1075,16,2020 Toyota Camry SE,24499,55546, Front-wheel Drive ,28–39,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC,75069,1,0
1076,17,2018 BMW X1 sDrive28i,25998,41215, Front-wheel Drive ,23–32,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,91016,1,1
1077,18,2015 Jeep Grand Cherokee Overland,17438,175136, Four-wheel Drive ,17–24,Gasoline ,8-SPEED A/T,V6 Cylinder Engine,28147,3,3
1078,19,2018 Jeep Grand Cherokee Limited,29793,53912, Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,44146,3,3
1079,0,2018 Cadillac XTS Luxury,28995,62375, Front-wheel Drive ,19–28,Gasoline ,6-Speed Automatic,3.6L V6 24V GDI DOHC,19806,0,0
1080,1,2019 Nissan Maxima 3.5 Platinum,33777,35373, Front-wheel Drive ,20–30,Gasoline ,Automatic CVT,3.5L V6 24V GDI DOHC,75150,0,1
1081,2,2015 Honda Pilot EX-L,27998,32655, Four-wheel Drive ,17–24,Gasoline ,Automatic,Regular Unleaded V-6 3.5 L/212,55437,0,0
1082,3,2015 Subaru Outback 2.5i Premium,19990,89198, All-wheel Drive ,25–33,Gasoline ,Automatic CVT,2.5L H4 16V MPFI DOHC,0,3,3
1083,4,2019 Volvo S60 T5 Momentum,33500,17809, Front-wheel Drive ,24–36,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,85251,1,1
