,index,name,price,mileage,ex_color,in_color,drivetrain,mpg,fuel_type,transmission,engine
335,19,2019 Acura RDX Technology Package,36997,36997, Fathom Blue Pearl , Graystone , Front-wheel Drive ,22–28,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
336,0,2018 Chevrolet Tahoe LT,39950,39950, Silver Ice Metallic , Jet Black , Four-wheel Drive ,16–22,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV
337,1,2017 Jeep Grand Cherokee Limited,24499,24499, Granite Crystal Clearcoat Metallic , Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
338,2,2000 Lincoln Town Car Executive,5495,5495, White , Gray , Rear-wheel Drive ,18–23,Gasoline ,Automatic 4-Speed,8 Cylinder Engine
339,3,2020 Acura TLX FWD,23999,23999, Gray , Ebony , Front-wheel Drive ,23–33,Gasoline ,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC
340,4,2018 Mercedes-Benz S-Class S 560 4MATIC,72995,72995, designo Diamond White Metallic , Silk Beige / Espresso Brown , All-wheel Drive ,17–27,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
341,5,2021 Tesla Model Y Long Range,71643,71643, White , – , All-wheel Drive ,131–117,Electric ,1-Speed Automatic,Electric
342,6,2019 Tesla Model X Long Range,99995,99995, Pearl White Multi , Black , All-wheel Drive ,99–93,Electric ,1-Speed Automatic,Electric
343,7,2019 BMW M240 i xDrive,47400,47400, Black Sapphire Metallic , Oyster , All-wheel Drive ,21–30,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
344,8,2021 Mercedes-Benz GLA 250 Base,43295,43295, Polar White , – , Front-wheel Drive ,25–34,Gasoline ,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
345,9,2017 Audi Q7 3.0T Premium Plus,43991,43991, Ink Blue Metallic , Nougat Brown , All-wheel Drive ,19–25,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged
346,10,2019 Audi Q8 3.0T Premium,63925,63925, Orca Black Metallic , Black , All-wheel Drive ,17–22,Hybrid ,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo Hybrid
347,11,2020 Mercedes-Benz CLA 250 Base,37584,37584, Cosmos Black Metallic , – , Front-wheel Drive ,25–35,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
348,12,2020 Volvo XC60 T5 Inscription,43950,43950, Black , Charcoal , All-wheel Drive ,20–27,Gasoline ,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/120
349,13,2020 Volkswagen Tiguan 2.0T SE,25277,25277, Pyrite Silver Metallic , Black , Front-wheel Drive ,22–29,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
350,14,2022 BMW M3 Competition xDrive,99605,99605, Gray , Red , All-wheel Drive ,16–22,Gasoline Fuel ,8-Speed A/T,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel
